CID,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount
91367296,377.4,3.5,2,7
91385998,492.0,3.0,3,8
91386554,484.5,4.1,2,8
91483377,464.5,3.4,2,7
91534788,496.5,3.9,3,8
91554375,447.5,2.0,4,9
91558984,375.4,2.9,2,6
91591353,389.4,3.4,2,6
91612558,431.4,3.5,2,8
118421229,489.9,4.5,2,7
118421448,417.5,4.0,2,6
121408770,458.8,4.5,3,6
122657704,485.8,4.2,2,9
123194526,415.8,3.2,3,7
123247258,472.5,4.1,4,8
123350649,461.5,2.3,3,9
123384820,463.5,2.2,4,10
123388010,487.9,2.6,3,8
123463000,431.5,2.4,4,9
123467257,490.5,1.4,4,9
123531009,486.5,4.5,4,8
123556041,473.5,3.4,4,9
123599706,486.5,4.5,4,8
123622342,467.5,4.2,2,8
123639808,481.4,4.0,2,10
123664901,461.5,2.1,3,9
123673719,497.8,4.6,2,9
123675514,481.5,3.6,4,9
123737762,397.8,4.8,2,5
123789260,473.5,3.1,4,9
123879187,473.5,1.9,5,9
123977397,490.5,4.2,4,9
123977470,486.5,4.1,4,8
123992910,490.5,4.2,4,9
126731418,489.9,5.0,3,9
126731420,407.4,3.2,3,9
126731441,469.5,4.7,3,9
126731444,498.6,4.5,3,10
126731529,382.8,4.5,2,7
126731535,422.8,3.5,2,8
126731603,398.8,3.4,2,8
126731615,489.9,5.0,3,9
126731661,411.9,4.1,2,7
126731669,450.8,4.4,2,9
126731677,468.8,4.5,2,10
126731756,411.9,4.1,2,7
126731781,467.8,4.8,2,9
126731799,469.5,4.7,3,9
129031621,491.9,3.9,3,8
129047872,487.9,4.8,2,7
129048207,499.5,4.0,2,8
130339530,487.9,4.8,2,7
130354502,487.9,4.8,2,7
135173920,439.5,4.7,2,7
135240234,479.5,4.6,2,7
135240296,496.9,4.6,2,7
135240457,489.9,4.9,2,7
135240800,489.9,5.0,2,7
135240919,441.5,3.8,2,7
135241430,491.5,4.5,2,9
135248774,470.5,3.7,3,8
135248831,475.5,5.0,2,9
135248856,459.9,4.8,2,7
135248866,451.5,4.5,2,6
135248871,443.9,4.0,2,6
135248886,480.5,4.1,2,8
135248887,464.5,4.5,2,8
138461024,486.9,4.7,3,7
138467446,464.9,2.9,3,8
139570505,473.9,4.6,2,7
140640561,469.5,4.8,2,7
140655030,490.9,5.0,2,8
141294358,489.8,4.8,3,7
142402683,435.5,4.9,2,6
142402693,464.5,4.5,2,8
142402708,445.9,4.5,2,7
142402736,454.5,4.1,3,8
142548560,381.8,4.8,2,6
143384132,457.5,4.8,2,8
143384138,447.4,3.6,2,8
143384182,453.9,4.0,2,7
143384224,321.71,3.5,2,5
143384288,441.5,4.1,2,7
143384290,379.8,3.7,2,6
143384293,440.5,3.7,2,8
143384328,343.4,4.4,2,5
143384332,467.8,3.8,2,8
143384333,457.5,4.8,2,8
143384335,421.5,4.6,2,6
143384354,422.5,3.6,2,7
143384358,413.9,4.5,2,6
143384544,457.5,4.5,2,7
143384551,393.9,4.0,2,6
143384623,461.8,3.4,2,6
143384721,468.9,2.6,2,7
143384776,421.5,4.6,2,6
143384844,483.9,4.8,2,8
143384876,487.9,4.8,2,6
143384897,482.5,4.9,2,8
143384982,458.7,4.3,2,6
143384983,443.9,4.3,2,6
143384993,375.4,3.0,2,6
143385129,485.8,3.7,2,9
143711866,496.0,4.6,2,7
143711877,457.9,4.6,2,6
143712034,477.9,2.1,4,9
143712039,487.5,4.0,2,9
144086740,462.9,2.5,2,8
144086742,387.4,3.4,2,7
144086801,474.9,4.6,2,8
144086815,444.5,4.9,3,8
144086850,431.4,4.1,2,10
144086862,349.4,2.7,2,7
144086888,343.4,4.4,2,5
144086896,446.5,3.4,2,8
144086902,475.5,2.3,3,9
144086953,431.8,4.6,2,7
144086968,375.4,5.0,2,6
144087036,420.9,4.2,2,7
144212074,428.5,4.6,2,7
144212137,431.5,2.2,4,9
144212181,480.5,3.7,3,8
144212321,446.5,3.1,3,8
144212375,467.5,3.8,4,8
144386465,472.9,3.4,1,6
144848014,384.8,4.4,3,5
146277609,461.9,4.4,2,7
146281454,463.9,4.7,2,7
146281469,449.9,4.2,2,7
146302405,491.9,3.2,2,9
146302410,444.5,3.1,3,7
146302411,473.5,1.7,3,9
146302430,433.5,4.2,2,7
146302459,460.5,3.4,3,8
146302475,433.5,4.2,2,7
146302484,470.5,3.7,3,8
146697355,490.5,1.1,5,9
148487438,461.5,1.9,3,9
148909879,483.6,2.7,3,8
149493059,491.9,4.1,2,7
151179043,462.5,2.8,3,8
152565234,480.5,4.1,2,8
153288805,496.9,4.6,2,7
156508497,473.5,5.0,2,9
157468942,472.9,3.4,2,7
158408351,447.5,1.4,3,9
158798304,409.9,3.2,2,6
159106789,471.9,4.4,2,6
159426719,412.8,3.6,1,6
159835301,430.3,3.4,2,6
160445243,413.8,2.9,2,7
160777276,471.9,4.4,2,6
161095036,498.5,4.0,2,8
161382777,475.5,2.5,3,9
162244380,475.5,2.3,3,9
162741558,484.5,4.1,2,8
162741585,471.5,3.7,3,8
162742000,485.5,3.3,2,8
162742255,481.5,4.6,2,7
163759183,415.4,3.3,2,7
163838725,485.5,5.0,2,7
164938919,461.9,4.1,2,7
164938925,474.5,3.4,2,9
164938927,442.4,2.7,2,8
164938933,456.5,3.3,2,8
164938938,487.5,4.8,2,8
164938939,490.9,3.9,2,8
164938940,470.5,3.7,2,8
164938941,473.5,4.4,2,8
164938947,489.9,5.0,2,7
164938948,484.5,4.0,2,8
164938951,469.5,4.7,2,7
164938953,469.5,4.7,2,7
164938955,491.9,3.6,2,9
164938956,491.9,3.2,2,9
164938971,498.5,3.2,3,8
164938984,482.5,4.1,2,8
164938986,498.5,4.4,2,8
164938988,383.8,4.4,2,5
164938998,470.5,3.6,2,8
164939014,484.5,4.0,2,8
164939019,484.5,4.1,2,8
164939029,491.9,3.2,2,9
164939030,456.5,3.3,2,8
164939032,460.5,2.5,3,8
164939033,499.5,3.7,2,9
167557801,484.5,4.1,2,8
169229399,485.5,3.6,3,9
172711533,395.8,2.8,2,6
172754829,427.9,3.3,2,7
172825080,395.8,2.8,2,6
172831138,471.9,4.4,2,6
172833034,498.5,4.0,2,8
172833640,439.8,4.8,2,5
173279994,489.5,2.5,3,9
173280048,477.5,2.5,3,8
173280076,477.5,2.5,3,8
173280247,443.5,1.8,3,8
173280448,441.5,1.5,3,8
173280529,457.5,2.1,3,8
173280595,495.5,2.6,3,9
173280604,492.0,2.8,3,8
173574402,407.4,2.2,2,8
174193287,489.9,5.0,2,7
174777212,467.5,4.2,2,6
66718339,447.8,4.6,3,8
86330385,440.5,3.6,2,8
86330386,440.5,3.6,2,8
90480222,441.9,4.1,2,7
144061323,427.8,4.7,2,6
153544315,468.5,4.7,3,8
153544549,454.5,4.1,3,8
157697153,437.5,4.1,2,6
167687823,459.5,4.4,2,7
171935248,411.8,4.3,2,5
172602742,482.5,4.1,3,8
174777213,466.5,4.2,1,7
11189486,425.9,3.9,2,5
11360010,347.8,4.2,2,3
52915008,420.9,3.3,2,7
57595566,425.9,3.9,2,5
57595574,347.8,4.2,2,3
57595595,389.8,4.1,2,3
58086644,343.4,2.5,2,5
58086692,433.5,4.5,2,5
58086921,460.3,4.5,2,5
58087033,420.5,3.1,2,6
58252036,391.9,3.1,2,5
58327743,404.8,4.7,2,5
66646396,375.8,2.8,2,5
66646533,418.9,3.0,2,6
66646587,383.5,3.3,2,5
66646650,446.3,4.4,2,5
66646669,403.9,3.5,2,5
66646800,397.5,3.8,2,5
66646887,417.9,4.1,2,5
66646900,406.5,2.6,3,6
66646926,378.8,2.2,2,6
66646981,391.9,3.5,2,5
66647087,377.8,3.1,2,5
67219532,427.9,2.8,3,7
67219658,427.9,2.8,3,7
67219783,476.3,3.4,3,7
67220050,427.9,2.8,3,7
68754215,446.3,4.4,2,5
71698818,460.0,4.5,2,5
89835478,420.5,3.1,2,6
90861680,494.0,3.2,3,7
91125037,494.0,3.2,3,7
91316961,404.9,4.9,3,6
132099647,419.5,4.1,2,5
135248794,479.0,4.5,2,6
142402707,469.9,4.7,2,5
143071882,409.9,4.3,2,5
144087016,430.3,5.0,2,5
146302472,479.0,5.0,2,6
151426869,483.0,3.6,3,6
152065206,483.0,4.2,3,6
152705150,483.0,3.6,3,6
153288806,479.0,4.5,2,6
161881686,433.5,4.6,2,5
164938999,347.8,4.2,2,3
173280062,425.5,1.7,3,7
173280350,494.0,3.0,3,7
173280441,423.5,1.4,3,7
173280598,439.5,2.0,3,7
177255432,489.9,4.5,2,7
52952752,459.5,3.3,2,8
52952753,465.5,3.3,2,8
52952754,460.5,3.3,2,8
52952755,466.5,3.3,2,8
52952756,461.5,3.3,2,8
52952797,468.5,3.3,2,8
52952798,463.5,3.3,2,8
52952815,418.9,3.3,2,7
52952857,416.8,3.3,2,7
52952859,417.9,3.3,2,7
52952900,418.9,3.3,2,7
52953025,415.8,3.3,2,7
52953027,415.8,3.3,2,7
52953180,395.4,3.1,2,7
52953182,395.4,3.1,2,7
52953184,398.4,3.1,2,7
52953222,396.4,3.1,2,7
52953224,397.4,3.1,2,7
52953264,398.4,3.1,2,7
52953266,400.5,3.1,2,7
52953268,398.4,3.1,2,7
52953307,401.5,3.1,2,7
52953309,399.4,3.1,2,7
52953349,403.5,3.1,2,7
52953351,401.5,3.1,2,7
52953352,463.5,3.3,2,8
52953353,458.5,3.3,2,8
52953389,463.5,3.3,2,8
52953390,458.5,3.3,2,8
52953391,466.5,3.3,2,8
52953392,461.5,3.3,2,8
52953393,464.5,3.3,2,8
71698738,460.0,4.5,2,5
76974090,419.8,3.3,2,7
136002598,420.9,3.1,2,7
136002601,423.9,3.1,2,7
136002602,421.9,3.1,2,7
136002603,422.9,3.1,2,7
136002610,423.9,3.1,2,7
136002611,425.9,3.1,2,7
136002620,420.9,3.1,2,7
136002625,400.5,2.8,2,7
136002626,400.5,2.8,2,7
136002627,403.5,2.8,2,7
136002630,401.5,2.8,2,7
136002631,402.5,2.8,2,7
136002632,403.5,2.8,2,7
136002633,405.5,2.8,2,7
136002634,403.5,2.8,2,7
136002635,406.5,2.8,2,7
136002636,404.5,2.8,2,7
136002637,408.5,2.8,2,7
136002638,406.5,2.8,2,7
